Contract,TenureGroup,Customers,ChurnRate,AvgChurnProb,AvgMonthlyCharge
Month-to-month,0-1 year,1994,51.35406218655968,66.261696,58.2179037111334
Month-to-month,2-4 years,802,32.917705735660846,47.248928,75.94021197007481
Month-to-month,1-2 years,737,37.720488466757125,54.363888,69.30956580732699
Month-to-month,4+ years,342,26.023391812865498,41.10633,85.44576023391812
One year,0-1 year,124,10.483870967741936,15.973778,35.7975806451613
One year,2-4 years,518,10.617760617760617,18.096073,61.95617760617761
One year,1-2 years,197,8.121827411167512,15.202872,44.87868020304569
One year,4+ years,634,12.933753943217665,20.27463,79.56356466876971
Two year,0-1 year,68,0.0,2.5257812,30.946323529411757
Two year,2-4 years,274,2.18978102189781,3.7366855,44.14580291970803
Two year,1-2 years,90,0.0,2.400846,32.306666666666665
Two year,4+ years,1263,3.32541567695962,5.376826,68.01104513064134
